community_id,size
0,3
1,3
2,3
3,13
4,5
5,3
6,6
7,8
8,3
9,3
10,4
11,7
12,5
13,4
14,4
15,3
16,3
17,3
18,3
19,5
20,3
21,6
22,4
23,4
24,3
25,3
26,3
27,4
28,3
29,4
30,4
31,3
32,4
33,3
34,3
35,3
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,3
45,4
46,2
47,3
48,3
49,3
50,5
51,3
52,4
53,5
54,3
55,3
56,4
57,3
58,4
59,3
60,4
61,6
62,3
63,5
64,3
65,4
66,3
67,3
68,3
69,3
70,3
71,4
72,2
73,4
74,3
75,3
76,4
77,3
78,6
79,4
80,3
81,4
82,3
83,4
84,4
85,4
86,3
87,4
88,4
89,2
90,3
91,4
92,4
93,4
94,4
95,5
96,4
97,3
98,3
99,4
100,3
101,3
102,4
103,3
104,3
105,4
106,4
107,3
108,4
109,4
110,4
111,4
112,4
113,3
114,3
115,3
116,4
117,3
118,4
119,3
120,3
121,3
122,4
123,2
124,4
125,3
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,2
