row_trait,col_trait,edge_fraction
E,E,0.040829986613119144
E,O,0.0050200803212851405
E,A,0.03748326639892905
E,C,0.07530120481927711
E,N,0.09738955823293173
O,E,0.0050200803212851405
O,O,0.0006693440428380187
O,A,0.012717536813922356
O,C,0.02744310575635877
O,N,0.0033467202141900937
A,E,0.03748326639892905
A,O,0.012717536813922356
A,A,0.0107095046854083
A,C,0.02710843373493976
A,N,0.02242302543507363
C,E,0.07530120481927711
C,O,0.02744310575635877
C,A,0.02710843373493976
C,C,0.04350736278447122
C,N,0.09839357429718876
N,E,0.09738955823293173
N,O,0.0033467202141900937
N,A,0.02242302543507363
N,C,0.09839357429718876
N,N,0.09103078982597054
