row_trait,col_trait,edge_fraction
E,E,0.01853366039792859
E,O,0.017852275824475333
E,A,0.035295720904878716
E,C,0.028890705914418096
E,N,0.041428182065958025
O,E,0.017852275824475333
O,O,0.03025347506132461
O,A,0.044698828018533664
O,C,0.03638593622240392
O,N,0.051648950667756884
A,E,0.035295720904878716
A,O,0.044698828018533664
A,A,0.061597165440174434
A,C,0.03802125919869174
A,N,0.054919596620332516
C,E,0.028890705914418096
C,O,0.03638593622240392
C,A,0.03802125919869174
C,C,0.036249659307713275
C,N,0.03665849005178523
N,E,0.041428182065958025
N,O,0.051648950667756884
N,A,0.054919596620332516
N,C,0.03665849005178523
N,N,0.08176614881439084
