node,degree,pagerank
0,26,0.0022415700695930904
1,21,0.0018778228741603061
2,27,0.0023155686010429073
3,18,0.001641473007015899
4,17,0.0015732433239612111
5,21,0.0018661544979757594
6,25,0.0021539293403202244
7,22,0.001946226446760268
8,27,0.0023147398755165817
9,23,0.002023841879142971
10,22,0.0019462341371039795
11,23,0.002000875083652227
12,20,0.0017936772750682597
13,16,0.0014790815044985832
14,24,0.002088835413727536
15,26,0.0022380221448839955
16,21,0.0018588344055313606
17,18,0.001640997565941926
18,26,0.0022313809100680555
19,27,0.002308262642793348
20,17,0.0015781513837233043
21,22,0.001923978848310754
22,26,0.0022234112291735163
23,16,0.0015122145018158755
24,17,0.0015570276426602684
25,18,0.0016458107012539878
26,31,0.002590473698455084
27,18,0.001632178708184364
28,26,0.0022635789179759344
29,18,0.0016452919355002477
30,28,0.0023925364004443797
31,23,0.0020065228865007887
32,17,0.0015878652288934263
33,21,0.0018578385607146844
34,29,0.0024588947195861473
35,22,0.0019403585200137197
36,13,0.0012778179216424272
37,24,0.0020873779469670274
38,26,0.00224586482498868
39,24,0.0020780516545943865
40,29,0.002473787684761513
41,33,0.002734748317021354
42,26,0.002225464338323538
43,27,0.0023086635008005276
44,27,0.0022940171430829884
45,29,0.0024539322952787787
46,19,0.0017218806105905183
47,20,0.0017952648145659411
48,26,0.0022447255609440164
49,21,0.001858625579835857
50,21,0.0018667378631997515
51,21,0.0018701268609863007
52,23,0.0020219825620555287
53,25,0.0021587186146515493
54,15,0.0014152535446071421
55,25,0.002157510558625349
56,21,0.0018513253651931722
57,29,0.002444520570923876
58,32,0.0026858192435890538
59,20,0.001790502642610859
60,22,0.0019242790356488993
61,21,0.0018543017725394686
62,23,0.0020152903078923356
63,20,0.0017864102879894311
64,24,0.00207984677107247
65,23,0.002003495337888359
66,20,0.0018032208966354331
67,27,0.002301940192145294
68,24,0.0021018579672107606
69,23,0.0020227620621169826
70,19,0.001696365479471625
71,24,0.0020908344367703696
72,31,0.0025992689652339133
73,19,0.0017219079862542499
74,26,0.0022216334743513145
75,25,0.002184129970411353
76,22,0.0019333792795541936
77,20,0.0017931395189184078
78,23,0.002036467144152703
79,18,0.0016421291930228397
80,28,0.0023910658945881075
81,24,0.0020787196560998933
82,31,0.0026005887506156027
83,26,0.0022379073078301255
84,17,0.0015691040554879738
85,24,0.002080461903423364
86,19,0.001725535976899596
87,20,0.0017885458453152055
88,25,0.0021470794597370523
89,27,0.0023201864668335958
90,32,0.002658673168046592
91,26,0.002221195575983697
92,29,0.002462248079221972
93,31,0.002608918546762753
94,20,0.001793987725449346
95,19,0.0017097580664051652
96,30,0.002549217796438043
97,17,0.001562562912531102
98,24,0.0020801420865869183
99,15,0.0014296782247455253
100,21,0.0018496465049107932
101,22,0.0019232060926979524
102,28,0.0023834239367844737
103,13,0.0012589947589192825
104,23,0.0020084622312088658
105,23,0.002007794288881942
106,23,0.002024726446206932
107,18,0.001634830918412895
108,26,0.002233494843522942
109,17,0.0015779124467055021
110,26,0.002245602894119489
111,28,0.0023878234455108134
112,21,0.001866166436034405
113,21,0.0018535219683329786
114,28,0.002397263880595026
115,27,0.002324808584938422
116,15,0.0014216146795201139
117,22,0.001950047666249979
118,26,0.002273614125795876
119,25,0.002164919755421515
120,28,0.002370671075355554
121,21,0.0018583307292366106
122,22,0.001944604992676211
123,25,0.0021627774423766642
124,22,0.001928410031886138
125,24,0.0020869081617597963
126,21,0.001862979165168463
127,28,0.002395649756248044
128,15,0.001432145818276511
129,28,0.0023804558717957303
130,22,0.001950021813053207
131,22,0.0019491535904243918
132,20,0.0018109674289657634
133,23,0.002023716688472978
134,30,0.0025262950429464854
135,21,0.0018836921570709814
136,21,0.001877476624509949
137,20,0.0017960796613419971
138,14,0.001339540333572873
139,21,0.0018822203406187576
140,24,0.0021017408887299485
141,18,0.0016624756344916982
142,23,0.002004897017745543
143,32,0.0026907803809542935
144,26,0.0022357628477019647
145,18,0.0016420550310587484
146,17,0.001555822853031197
147,20,0.0017857496630453139
148,25,0.002169510802246465
149,16,0.0015036878588103148
150,21,0.0018824273502028735
151,28,0.0023856313998399784
152,21,0.0018796339453873805
153,22,0.0019445866694387628
154,22,0.0019303909177279012
155,16,0.001494146943997189
156,24,0.0021039116606115164
157,23,0.0020057821060140753
158,24,0.002086353699494339
159,23,0.0020162605160281848
160,33,0.0027601158531814418
161,16,0.0015005342418535547
162,23,0.0020283497441790084
163,26,0.002262640100327296
164,25,0.002172414257362492
165,19,0.00173140256635064
166,21,0.001863204881472093
167,25,0.002172292957446812
168,18,0.001649767915615759
169,28,0.0024156979143588404
170,24,0.0020946759251936798
171,26,0.002251998591913964
172,21,0.0018680470913916328
173,21,0.0018589632252515194
174,25,0.0021658277969063312
175,29,0.0024638309815391557
176,25,0.0021649062458212213
177,23,0.0020122866378554593
178,23,0.002007150748016334
179,25,0.0021596146462368694
180,23,0.002030279377241624
181,23,0.002009329436629895
182,26,0.002223536933560246
183,30,0.002521719625229849
184,33,0.002762466645221009
185,24,0.0020893798821303667
186,21,0.0018858120829619788
187,18,0.0016438629598333478
188,17,0.0015759259267635094
189,29,0.0024754410756924754
190,27,0.002301530693120982
191,27,0.002323702604545928
192,25,0.002158974847011101
193,20,0.0017967764377012888
194,28,0.002394813497005016
195,19,0.0017216404371931352
196,19,0.0017105593159294618
197,21,0.0018790011708795496
198,23,0.002037876257846321
199,30,0.002524106063577502
200,19,0.0017543394964278712
201,18,0.001651534290874243
202,32,0.0026822961799626813
203,16,0.001496018404307969
204,19,0.001721162996100051
205,20,0.0018043253524446144
206,20,0.0018006600309111059
207,19,0.0017190892682514784
208,29,0.0024555286986221213
209,15,0.0014151901676952962
210,17,0.0015856344015112527
211,20,0.0018033600542253965
212,18,0.0016539705452913607
213,22,0.001955676529331758
214,16,0.0015007281230961368
215,28,0.002376026611824354
216,28,0.002396846267891106
217,22,0.0019335311758912664
218,27,0.002313602078537969
219,20,0.0017890971580570003
220,18,0.0016619496855821152
221,29,0.002466137942642278
222,20,0.0017910175836759682
223,24,0.0020915352651259492
224,28,0.0024165624202587004
225,25,0.002172090123919708
226,19,0.0017156795486949403
227,17,0.0015790534256984697
228,13,0.001275769745852735
229,24,0.002100270477768328
230,24,0.002090156765180103
231,22,0.001935089505725574
232,22,0.0019275247222201653
233,26,0.0022333894305111624
234,29,0.0024649715388184727
235,21,0.001842795536828446
236,29,0.0024652692811546312
237,29,0.002476145100360617
238,18,0.001637532227301147
239,26,0.0022479570005905533
240,19,0.0017258578076977716
241,18,0.001641337643641713
242,12,0.001195236460293633
243,22,0.001932158538833004
244,27,0.002322637602555839
245,24,0.0020832368885347896
246,27,0.0023040831792395136
247,22,0.0019346254172948653
248,19,0.0017304675286302577
249,28,0.002392263479502605
250,22,0.0019354725990753682
251,18,0.001642591781135636
252,24,0.0020839360013439963
253,29,0.0024639266073191637
254,20,0.0017857912380238805
255,25,0.0021616484427901695
256,20,0.0017997632286716016
257,25,0.002184499167813761
258,18,0.0016564227244981137
259,31,0.0026202958310639975
260,24,0.0021065959418372047
261,26,0.0022599558205161577
262,29,0.002475440044983808
263,30,0.0025620971210896927
264,14,0.0013537775540258547
265,18,0.0016501942657401766
266,23,0.0020291612486627707
267,29,0.0024657302594795214
268,22,0.0019318604977352758
269,22,0.0019335963668050606
270,25,0.002159301186344738
271,21,0.0018795164714794006
272,18,0.0016471556975585018
273,23,0.002018351538925821
274,24,0.0021010571384756783
275,21,0.001852506530602107
276,19,0.0017240574127556961
277,21,0.001875525132847735
278,25,0.0021692320819719432
279,18,0.0016430828381823334
280,23,0.0020095621847025986
281,19,0.0017219004202827005
282,29,0.0024571682754796786
283,30,0.0025308732950849572
284,18,0.0016522855524962886
285,25,0.002186405109348614
286,32,0.0026756528821843388
287,20,0.0018023699539766712
288,21,0.001866753649890494
289,21,0.0018574374790462508
290,25,0.0021706497651852795
291,26,0.002234475006980949
292,24,0.0020987489747936886
293,23,0.002029600410101368
294,25,0.002171410915820069
295,25,0.002163154062867106
296,22,0.001943755618862577
297,25,0.0021642033223620107
298,15,0.0014117048989912267
299,33,0.002765671683716404
300,29,0.0024788808007464346
301,16,0.0015218483143897518
302,23,0.0020019688644254737
303,27,0.0023145757410731275
304,20,0.0017927308197137975
305,25,0.0021633418410672623
306,27,0.0023024303699250887
307,32,0.0026799579428993113
308,20,0.00179306093322754
309,17,0.0015741181912585392
310,21,0.0018700635002146728
311,19,0.0017449838005556416
312,24,0.0020785933853081336
313,28,0.002401939609280409
314,26,0.0022417012993316103
315,21,0.0018648779285965827
316,23,0.002024399911517014
317,22,0.0019419615826430133
318,26,0.0022544518154775906
319,15,0.0014315034037010591
320,20,0.0017859415464439917
321,31,0.002609977598141895
322,22,0.0019521965837071584
323,22,0.0019440455509991531
324,28,0.0023651398920735613
325,21,0.00186704109998575
326,20,0.0017907107597006006
327,20,0.0017915642685633864
328,17,0.0015679517176790403
329,30,0.002539069396324903
330,16,0.0014968022105912512
331,18,0.0016436734678901294
332,20,0.0017881352555625407
333,27,0.0023213720638159386
334,23,0.0020207509406607012
335,22,0.0019407984210314865
336,23,0.002024179457249157
337,20,0.001786215256773124
338,26,0.002250892494940941
339,25,0.0021670230610000007
340,26,0.0022284516190733622
341,26,0.0022496839674927857
342,22,0.0019555877372109845
343,20,0.001796708276314234
344,20,0.0017945004758615714
345,21,0.0018518515459901206
346,21,0.0018673547444463747
347,22,0.0019460553649011973
348,23,0.00201629552509258
349,18,0.0016366257498789468
350,28,0.002383805785720426
351,22,0.0019432002748169582
352,15,0.0014310019661996696
353,22,0.001934491748277428
354,22,0.001960375504228117
355,22,0.0019512744904005546
356,18,0.001656459869649492
357,22,0.0019535006187011046
358,24,0.002122267936966757
359,15,0.0014150135527379285
360,28,0.0023796233274027204
361,19,0.0017300837584143607
362,26,0.002235999680741912
363,15,0.0014150596223496945
364,22,0.0019421872030158049
365,23,0.0020247047385197267
366,27,0.0023122353680580213
367,22,0.0019318004863264648
368,20,0.001818563486757985
369,26,0.002258752864010205
370,21,0.001859894521886998
371,23,0.002007338259217601
372,22,0.0019361582884515676
373,27,0.002306267712722333
374,20,0.001800559879576307
375,20,0.0018019195595531093
376,28,0.002390514548949338
377,24,0.0021073681571565058
378,21,0.001867801213860557
379,23,0.002029408981991965
380,26,0.0022322819216171676
381,33,0.0027752287862890723
382,24,0.0020950112668106633
383,28,0.002403782406474381
384,31,0.002621784467636076
385,21,0.001871525339227553
386,18,0.0016448598763837581
387,28,0.0023747184743676476
388,31,0.0026176284300021757
389,18,0.001638923885394489
390,22,0.0019444855260706048
391,17,0.0015910711383235125
392,23,0.0020014494557365854
393,19,0.0017184808686278306
394,21,0.0018862991006487044
395,19,0.0017273605032902476
396,31,0.002612133279025653
397,22,0.0019343359130406539
398,24,0.0020902230181550656
399,26,0.002243571737329134
400,17,0.001590287229598202
401,25,0.0021620636350810464
402,20,0.0018040166105770144
403,21,0.0018581272982783924
404,26,0.0022401970413749688
405,21,0.0018746733681286947
406,21,0.0018846694123813288
407,23,0.0020211217269203658
408,31,0.0026257721932345423
409,19,0.001713649940985481
410,23,0.002005582924475067
411,11,0.0011229436261129058
412,17,0.0015576781170582286
413,31,0.0026137299293289337
414,24,0.0020790059584389385
415,22,0.001932150975276156
416,24,0.002079400103127052
417,23,0.002026128740733362
418,20,0.0018092940044693857
419,25,0.0021708790995372375
420,16,0.0015095136506690491
421,23,0.0020206471513095218
422,18,0.0016251783520414749
423,28,0.0023929946065237243
424,22,0.0019611439689318647
425,30,0.0025578231592424724
426,22,0.001940681828929424
427,23,0.0020057240189811304
428,28,0.002397812263513232
429,12,0.001211605475511377
430,23,0.0019992567372204588
431,20,0.0018118214416129313
432,16,0.00149664285430218
433,27,0.002303634350429233
434,23,0.0020211091126518714
435,27,0.002308052970095013
436,23,0.002032685810164037
437,26,0.002248233191114441
438,17,0.0015777947894605733
