row_trait,col_trait,edge_fraction
E,E,0.02249165348796345
E,O,0.016253733965911087
E,A,0.03830609734668775
E,C,0.02591811632402038
E,N,0.03233175188894746
O,E,0.016253733965911087
O,O,0.018625900544719732
O,A,0.04015111579687226
O,C,0.03356176418907046
O,N,0.045246881040238975
A,E,0.03830609734668775
A,O,0.04015111579687226
A,A,0.06835354067826392
A,C,0.04401686874011597
A,N,0.06431207169214549
C,E,0.02591811632402038
C,O,0.03356176418907046
C,A,0.04401686874011597
C,C,0.042874714461430326
C,N,0.04471973291161483
N,E,0.03233175188894746
N,O,0.045246881040238975
N,A,0.06431207169214549
N,C,0.04471973291161483
N,N,0.07801792303637323
