community_id,size
0,2
1,2
2,2
3,5
4,3
5,3
6,5
7,4
8,3
9,5
10,3
11,3
12,7
13,3
14,5
15,2
16,3
17,3
18,3
19,3
20,2
21,8
22,3
23,6
24,4
25,2
26,4
27,2
28,3
29,5
30,4
31,4
32,6
33,5
34,5
35,2
36,5
37,4
38,3
39,4
40,4
41,5
42,4
43,4
44,4
45,3
46,5
47,3
48,5
49,4
50,7
51,5
52,6
53,10
54,5
55,5
56,4
57,12
58,5
59,4
60,3
61,4
62,4
63,3
64,2
65,6
66,8
67,4
68,9
69,3
70,3
71,2
72,3
73,3
74,3
75,5
76,4
77,10
78,8
79,4
80,4
81,8
82,5
83,4
84,12
85,10
86,3
87,3
88,3
89,4
90,3
91,3
92,6
93,5
94,5
95,5
96,6
97,3
98,5
99,4
100,5
101,14
102,4
103,9
104,3
105,4
106,2
107,5
108,5
109,3
