model,node,betweenness
ER,0,639.0430226282626
ER,1,248.55603993541516
ER,2,453.3386785578639
ER,3,214.89651348021036
ER,4,329.167458212542
ER,5,465.5343387366235
ER,6,241.91233245792674
ER,7,200.40530717229686
ER,8,509.2395818120579
ER,9,326.92188226925043
ER,10,436.72383228320905
ER,11,165.47786417918127
ER,12,191.37542826194257
ER,13,272.9583969531595
ER,14,413.73812084243576
ER,15,357.21428721239783
ER,16,272.6399661038492
ER,17,230.79153396961567
ER,18,449.03882985530646
ER,19,539.3230449523963
ER,20,219.8496464194199
ER,21,330.9414139576766
ER,22,484.80969859925636
ER,23,448.3018695007723
ER,24,99.48790033396898
ER,25,214.56952305929178
ER,26,787.4355755116652
ER,27,242.9763406106541
ER,28,409.468811618825
ER,29,183.23014735516972
ER,30,416.3007993413802
ER,31,500.44873559970335
ER,32,413.7011972076369
ER,33,445.41769545552927
ER,34,530.1834574507966
ER,35,304.55962918412746
ER,36,254.90485009032895
ER,37,362.2667877150769
ER,38,433.7542233560386
ER,39,225.6317260842202
ER,40,934.4231487125594
ER,41,706.4642384340706
ER,42,344.4906794134089
ER,43,731.1398090495265
ER,44,744.9805909182694
ER,45,502.1967667956256
ER,46,431.376069042614
ER,47,259.29649084985937
ER,48,782.5972067243184
ER,49,389.00998330013493
ER,50,482.10467814912823
ER,51,302.0087832655947
ER,52,519.2241428091019
ER,53,346.52824614749335
ER,54,31.063839880618037
ER,55,282.33079923043294
ER,56,338.37131318975884
ER,57,523.4749771083522
ER,58,615.263081720192
ER,59,359.1433297991935
ER,60,186.52957305562168
ER,61,465.0715344660588
ER,62,383.58406780358007
ER,63,367.4722967353932
ER,64,331.037874605697
ER,65,599.6517135392903
ER,66,313.38987682449675
ER,67,324.777100695542
ER,68,279.82879647679147
ER,69,423.7663677878423
ER,70,412.515660275737
ER,71,415.97559480827636
ER,72,615.4332321062636
ER,73,235.30519472052583
ER,74,226.3872991279067
ER,75,531.6867397573108
ER,76,460.1664532815839
ER,77,301.2364183606318
ER,78,759.5893121942668
ER,79,446.1795480580987
ER,80,658.0680074502154
ER,81,385.0534604273119
ER,82,349.29083739429166
ER,83,411.86334008550824
ER,84,317.5485273282668
ER,85,336.764730803734
ER,86,461.69589255674015
ER,87,277.3457743307923
ER,88,858.9795700582068
ER,89,671.2733456905371
ER,90,669.3944757829674
ER,91,744.7875524421727
ER,92,451.99915211834735
ER,93,654.8870228945191
ER,94,320.86210464452836
ER,95,449.20035083975165
ER,96,908.0764077094109
ER,97,175.84348347285817
ER,98,462.86772060572645
ER,99,189.25289368604996
ER,100,263.9017950008536
ER,101,252.34658869935072
ER,102,816.5049872163764
ER,103,59.402119823620026
ER,104,605.3733253675952
ER,105,293.54855477333894
ER,106,485.86115970042306
ER,107,456.7966705445392
ER,108,453.01313571743657
ER,109,375.078748538098
ER,110,748.8231215157707
ER,111,346.6422542472241
ER,112,404.4001083987326
ER,113,395.2892897504006
ER,114,385.90105637254254
ER,115,410.2798518563206
ER,116,526.4390566899496
ER,117,456.1775786061856
ER,118,342.0967578543149
ER,119,524.7663903126495
ER,120,728.7972644132569
ER,121,343.1629733931869
ER,122,155.20363524252184
ER,123,252.01996884336344
ER,124,305.45194854632035
ER,125,576.467757186081
ER,126,543.691938309477
ER,127,357.04707147257267
ER,128,334.17182658969494
ER,129,444.51315657258294
ER,130,247.83430628253416
ER,131,635.8228870326449
ER,132,252.0472953367914
ER,133,759.7790007403084
ER,134,170.66204269745384
ER,135,780.1015262725788
ER,136,288.1391815623715
ER,137,312.39145939030436
ER,138,277.33759822795355
ER,139,525.8240900248269
ER,140,401.45990802768563
ER,141,395.4864481879786
ER,142,603.9670522469049
ER,143,566.0753080872856
ER,144,463.657735402615
ER,145,444.5129470619443
ER,146,152.08190148457322
ER,147,319.6528135506523
ER,148,343.63497690464095
ER,149,223.17502573355003
ER,150,454.87593460870534
ER,151,317.8063616199789
ER,152,298.76054471427847
ER,153,691.5350610199295
ER,154,494.6646516020521
ER,155,627.8966210974942
ER,156,565.2646128413028
ER,157,105.46331593867322
ER,158,265.8031783160931
ER,159,496.3706287016818
ER,160,1053.040285331087
ER,161,131.49312716576668
ER,162,849.7417180788385
ER,163,713.3693523311897
ER,164,341.4440741582235
ER,165,73.33275927288395
ER,166,380.8437333730161
ER,167,304.1334398748281
ER,168,641.1953639113925
ER,169,772.5211471106875
ER,170,311.8214809136922
ER,171,274.44882129719576
ER,172,324.6118624142653
ER,173,277.47457887538144
ER,174,336.48769189527434
ER,175,910.434447470638
ER,176,412.89769299349405
ER,177,434.33830048774723
ER,178,460.83562013320875
ER,179,168.2054118653904
ER,180,664.2521609180449
ER,181,357.9899978821635
ER,182,376.9822748866037
ER,183,441.9595472204712
ER,184,988.7491266509791
ER,185,353.44753793086903
ER,186,377.7695019972554
ER,187,201.19461106030474
ER,188,44.6211889954894
ER,189,829.4832410444218
ER,190,439.30719630553097
ER,191,524.1560380542024
ER,192,336.335445074036
ER,193,191.9816585787946
ER,194,277.5338818264871
ER,195,182.4134487468969
ER,196,163.8353686148296
ER,197,434.802544585614
ER,198,588.0994493818866
ER,199,611.973087166289
ER,200,510.4452374885829
ER,201,18.37103438838918
ER,202,912.1102533315535
ER,203,220.8644430907621
ER,204,269.248265664389
ER,205,377.189224974165
ER,206,200.2447746302479
ER,207,189.1211499196475
ER,208,301.89462227241575
ER,209,189.04966559933032
ER,210,61.592013714175515
ER,211,234.0997099716334
ER,212,243.2351239514725
ER,213,322.78666525686464
ER,214,195.889869778654
ER,215,446.7896966744086
ER,216,570.9614981074254
ER,217,216.73337643710482
ER,218,874.7691274650313
ER,219,338.143392157945
ER,220,464.6800069890181
ER,221,408.78490355760067
ER,222,494.77911242517666
ER,223,166.64962125617794
ER,224,631.9284047318428
ER,225,476.9135206958732
ER,226,331.22590576519906
ER,227,234.50061818744607
ER,228,37.493710111313845
ER,229,484.64367945083984
ER,230,272.3877112580181
ER,231,602.4610562730586
ER,232,590.1051448071087
ER,233,488.1647246488555
ER,234,1145.348519385606
ER,235,607.141066594424
ER,236,713.5534703158652
ER,237,341.2507667240274
ER,238,466.87086714576
ER,239,516.2805171771015
ER,240,98.08860636882241
ER,241,336.69749956121814
ER,242,151.69195437704752
ER,243,166.038350872926
ER,244,415.4005343827337
ER,245,303.15878043598843
ER,246,260.77843157733486
ER,247,205.54900487450158
ER,248,397.14108440738335
ER,249,376.6409700221248
ER,250,283.30353762513744
ER,251,184.78729632831565
ER,252,537.3377435368344
ER,253,378.75456481350705
ER,254,255.2721244036601
ER,255,266.48965080826997
ER,256,183.63096887707843
ER,257,647.4837613342912
ER,258,181.58103435488687
ER,259,589.7356515818742
ER,260,287.1434864584888
ER,261,326.60401304082444
ER,262,633.4354579310681
ER,263,611.6351765137996
ER,264,356.4478511090346
ER,265,447.56615274987166
ER,266,290.76273273665134
ER,267,499.70776295727467
ER,268,426.64410205735925
ER,269,658.6779902607967
ER,270,117.2301529060901
ER,271,106.5791385793353
ER,272,265.6023082891372
