model,node,closeness
ER,0,0.391987431264729
ER,1,0.37183308494783907
ER,2,0.39540412044374007
ER,3,0.37155621742367834
ER,4,0.38266871165644173
ER,5,0.3886292834890966
ER,6,0.3812070282658518
ER,7,0.36745213549337263
ER,8,0.39075959279561473
ER,9,0.3803353658536585
ER,10,0.3957176843774782
ER,11,0.37350299401197606
ER,12,0.3707280832095097
ER,13,0.3757530120481928
ER,14,0.39291338582677166
ER,15,0.3812070282658518
ER,16,0.3812070282658518
ER,17,0.3690828402366864
ER,18,0.3862229102167183
ER,19,0.40241935483870966
ER,20,0.375187969924812
ER,21,0.38473400154202003
ER,22,0.40048154093097915
ER,23,0.3844375963020031
ER,24,0.36028880866425994
ER,25,0.3690828402366864
ER,26,0.4047039740470397
ER,27,0.3760361718161266
ER,28,0.3812070282658518
ER,29,0.3661041819515774
ER,30,0.38984375
ER,31,0.39729299363057324
ER,32,0.3865220759101472
ER,33,0.3963463065925338
ER,34,0.391679748822606
ER,35,0.38384615384615384
ER,36,0.3743435858964741
ER,37,0.3757530120481928
ER,38,0.3877233877233877
ER,39,0.3760361718161266
ER,40,0.41792294807370184
ER,41,0.40668296658516706
ER,42,0.3844375963020031
ER,43,0.40241935483870966
ER,44,0.40536149471974003
ER,45,0.39384372533543804
ER,46,0.3862229102167183
ER,47,0.38384615384615384
ER,48,0.4033953112368634
ER,49,0.39014855355746675
ER,50,0.38414164742109314
ER,51,0.3856259659969088
ER,52,0.39446640316205533
ER,53,0.3791793313069909
ER,54,0.343191196698762
ER,55,0.3788914198936978
ER,56,0.38062547673531655
ER,57,0.3922955974842767
ER,58,0.39729299363057324
ER,59,0.378316906747536
ER,60,0.3723880597014925
ER,61,0.39291338582677166
ER,62,0.38208269525267996
ER,63,0.38473400154202003
ER,64,0.3853281853281853
ER,65,0.3941548183254344
ER,66,0.37803030303030305
ER,67,0.379467680608365
ER,68,0.3774583963691377
ER,69,0.38414164742109314
ER,70,0.39353312302839116
ER,71,0.39106583072100315
ER,72,0.4080130825838103
ER,73,0.36556776556776555
ER,74,0.3760361718161266
ER,75,0.39729299363057324
ER,76,0.39322301024428685
ER,77,0.37378277153558054
ER,78,0.4014481094127112
ER,79,0.3880248833592535
ER,80,0.4040485829959514
ER,81,0.38266871165644173
ER,82,0.38712179984484096
ER,83,0.38266871165644173
ER,84,0.3768882175226586
ER,85,0.38384615384615384
ER,86,0.4014481094127112
ER,87,0.38149847094801226
ER,88,0.4080130825838103
ER,89,0.40241935483870966
ER,90,0.4050324675324675
ER,91,0.40668296658516706
ER,92,0.378316906747536
ER,93,0.39729299363057324
ER,94,0.38266871165644173
ER,95,0.39014855355746675
ER,96,0.4040485829959514
ER,97,0.37631975867269984
ER,98,0.3985623003194888
ER,99,0.36881005173688103
ER,100,0.3788914198936978
ER,101,0.37322363500373973
ER,102,0.40901639344262297
ER,103,0.35490753911806544
ER,104,0.39540412044374007
ER,105,0.38149847094801226
ER,106,0.3835511145272867
ER,107,0.39353312302839116
ER,108,0.3877233877233877
ER,109,0.3868217054263566
ER,110,0.40016038492381717
ER,111,0.3812070282658518
ER,112,0.3862229102167183
ER,113,0.38923556942277693
ER,114,0.39291338582677166
ER,115,0.38832684824902725
ER,116,0.38893219017926733
ER,117,0.38712179984484096
ER,118,0.3768882175226586
ER,119,0.39014855355746675
ER,120,0.4080130825838103
ER,121,0.3788914198936978
ER,122,0.3661041819515774
ER,123,0.37462462462462465
ER,124,0.3803353658536585
ER,125,0.40016038492381717
ER,126,0.40048154093097915
ER,127,0.3844375963020031
ER,128,0.37860394537177544
ER,129,0.38742236024844723
ER,130,0.378316906747536
ER,131,0.40080321285140563
ER,132,0.3707280832095097
ER,133,0.40048154093097915
ER,134,0.36799410029498525
ER,135,0.39888089528377296
ER,136,0.3797564687975647
ER,137,0.3791793313069909
ER,138,0.3740629685157421
ER,139,0.39792663476874
ER,140,0.3880248833592535
ER,141,0.3880248833592535
ER,142,0.4080130825838103
ER,143,0.39075959279561473
ER,144,0.38984375
ER,145,0.3844375963020031
ER,146,0.364766081871345
ER,147,0.3904538341158059
ER,148,0.38266871165644173
ER,149,0.37462462462462465
ER,150,0.38592420726991494
ER,151,0.3835511145272867
ER,152,0.3823754789272031
ER,153,0.40080321285140563
ER,154,0.3950910530482977
ER,155,0.39760956175298806
ER,156,0.39260424862313137
ER,157,0.35642857142857143
ER,158,0.3829623944742901
ER,159,0.39888089528377296
ER,160,0.41069958847736626
ER,161,0.36317321688500726
ER,162,0.409688013136289
ER,163,0.4073469387755102
ER,164,0.38004569687738005
ER,165,0.35390070921985817
ER,166,0.38712179984484096
ER,167,0.3749060856498873
ER,168,0.40209508460918614
ER,169,0.40935192780968005
