model,k,P(K>=k)
ER,3,1.0
ER,5,0.998
ER,6,0.992
ER,7,0.988
ER,8,0.984
ER,9,0.956
ER,10,0.922
ER,11,0.874
ER,12,0.796
ER,13,0.708
ER,14,0.626
ER,15,0.496
ER,16,0.402
ER,17,0.284
ER,18,0.212
ER,19,0.154
ER,20,0.112
ER,21,0.072
ER,22,0.048
ER,23,0.026
ER,24,0.016
ER,25,0.01
ER,26,0.002
BA,3,1.0
BA,4,0.606
BA,5,0.402
BA,6,0.294
BA,7,0.222
BA,8,0.172
BA,9,0.138
BA,10,0.104
BA,11,0.084
BA,12,0.066
BA,13,0.062
BA,14,0.05
BA,15,0.046
BA,16,0.038
BA,17,0.034
BA,18,0.032
BA,19,0.03
BA,20,0.028
BA,24,0.026
BA,26,0.022
BA,30,0.02
BA,31,0.018
BA,39,0.016
BA,40,0.014
BA,44,0.01
BA,45,0.008
BA,52,0.006
BA,54,0.004
BA,95,0.002
WS,2,1.0
WS,3,0.978
WS,4,0.762
WS,5,0.228
WS,6,0.028
WS,7,0.004
SBM,11,1.0
SBM,12,0.998
SBM,13,0.994
SBM,14,0.986
SBM,15,0.98
SBM,16,0.96
SBM,17,0.938
SBM,18,0.902
SBM,19,0.83
SBM,20,0.784
SBM,21,0.704
SBM,22,0.6
SBM,23,0.506
SBM,24,0.406
SBM,25,0.33
SBM,26,0.264
SBM,27,0.194
SBM,28,0.148
SBM,29,0.098
SBM,30,0.062
SBM,31,0.046
SBM,32,0.024
SBM,33,0.01
